address;lon;lat
Avenida Presidente Juscelino Kubitschek 1830, Itaim Bibi, São Paulo, 04543-000;-46.68667002892431;-23.59098002016124
Avenida Água Fria, Tucuruvi, São Paulo, 02332-001;-46.62162592594965;-23.478918998628444
Rua Estados Unidos 1721, Jardim Paulista, São Paulo, 01427-002;-46.670119961104405;-23.565779995902332
Praça Jácomo Zanella 295, Lapa, São Paulo, 05038-010;-46.69883751647789;-23.51558824065008
Rua Peixoto Gomide 346, Bela Vista, São Paulo, 01409-001;-46.655469986915335;-23.557010010609872
Avenida Carlos Oberhuber 446, Cidade Dutra, São Paulo, 04836-130;-46.709680029521536;-23.741630019499752
Rua Frederico Abranches, Santa Cecília, São Paulo, 01225-001;-46.650162168558424;-23.539705359024428
Avenida Adolfo Pinheiro 1912, Santo Amaro, São Paulo, 04734-003;-46.695300036433764;-23.637810006569055
Rua Mariano Procópio 20, Ipiranga, São Paulo, 01548-020;-46.61105998168284;-23.576690006804043
Rua Funchal 305, Itaim Bibi, São Paulo, 04551-060;-46.68921997150835;-23.593569986332938
Avenida Dom Pedro I, Cambuci, São Paulo, 01552-001;-46.61174700247446;-23.564333473031187
Rua Pinheiro Guimarães 398, Vila Prudente, São Paulo, 03141-030;-46.57294998251504;-23.58683001417053
Rua Augusta 2514, Jardim Paulista, São Paulo, 01412-100;-46.66560999428182;-23.563150006142976
Rua Agostinho Gomes, Ipiranga, São Paulo, 04206-000;-46.60501941343396;-23.57789854773104
Avenida Miguel Estéfano, Saúde, São Paulo, 04301-002;-46.6330155587812;-23.62120654166931
Avenida Carlos Liviero 1095, Sacomã, São Paulo, 04186-100;-46.59625997142692;-23.647859992295437
Avenida Jabaquara 1799, Saúde, São Paulo, 04045-010;-46.639410008974096;-23.6201000090782
Avenida Inconfidência Mineira, Aricanduva, São Paulo, 03476-010;-46.51155791698227;-23.572547518476355
Avenida Ten. Laudelino Ferreira do Amaral, Vila Jacuí, São Paulo, 08060-000;-46.454756077293574;-23.500558416403702
Rua Vitória 490, República, São Paulo, 01210-001;-46.64049212149886;-23.538750580606006
Rua Schiling 400, Vila Leopoldina, São Paulo, 05302-001;-46.7285900221805;-23.530269979280547
Avenida Lins de Vasconcelos 2200, Vila Mariana, São Paulo, 04112-000;-46.6266897632889;-23.581918497685063
Avenida Mateo Bei 2695, São Mateus, São Paulo, 03949-012;-46.48041997406651;-23.60487000718939
Rua Tobias Barreto 1016, Belém, São Paulo, 03176-001;-46.58775996723574;-23.549640012695292
Avenida Jardim Japão 1386, Vila Medeiros, São Paulo, 02221-001;-46.5828300635287;-23.47864013057392
Avenida Ibirapuera 3024, Moema, São Paulo, 04028-003;-46.66755996023656;-23.60892001707522
Avenida Paulista, Bela Vista, São Paulo, 01310-100;-46.652252539180296;-23.56489597391186
Avenida Duque de Caxias 130, República, São Paulo, 01214-000;-46.64052238593307;-23.53527016022993
Avenida São Miguel 9647, São Miguel, São Paulo, 08070-000;-46.44650402012066;-23.491455019101785
Avenida Sapopemba, Sapopemba, São Paulo, 03988-010;-46.50157992099486;-23.614879948373364
Rua Pedro de Toledo 436, Vila Mariana, São Paulo, 04039-001;-46.64092998329593;-23.598420006967345
Estrada das Lágrimas 1760, Sacomã, São Paulo, 04232-000;-46.593099351014054;-23.617300416965303
Rua Capitão Pacheco e Chaves, Móoca, São Paulo, 03126-000;-46.5952249321133;-23.581779959416842
Avenida Paulista 2300, Consolação, São Paulo, 01310-300;-46.66139004130912;-23.55678998565152
Rua Pamplona 1129, Jardim Paulista, São Paulo, 01405-200;-46.65700001952098;-23.567189999654516
Rua Joaquim Floriano 466, Itaim Bibi, São Paulo, 04534-002;-46.67459003006786;-23.584459989138168
Rua Ibitirama, Vila Prudente, São Paulo, 03133-200;-46.57743545689576;-23.596349026531847
Avenida Rio das Pedras 1907, Aricanduva, São Paulo, 03452-100;-46.50773536670469;-23.570027987938946
Rua Maciel Monteiro 242, Artur Alvim, São Paulo, 03566-000;-46.490519999754866;-23.53797998909745
Avenida Senador Teotônio Vilela 852, Cidade Dutra, São Paulo, 04801-000;-46.69990999936121;-23.709020015648107
Avenida Itaquera 1561, Vila Matilde, São Paulo, 03526-000;-46.51001311470916;-23.550143808850418
Avenida Itaquera 7288, Itaquera, São Paulo, 08295-000;-46.461170011414765;-23.546980015722554
Rua Itinguçu 2256, Penha, São Paulo, 03658-001;-46.4951700281795;-23.531340013039923
Avenida do Rio Pequeno 865, Rio Pequeno, São Paulo, 05379-000;-46.753700024799315;-23.56684001328742
Avenida Santa Catarina 1796, Jabaquara, São Paulo, 04378-100;-46.66061999586441;-23.650400002324204
Avenida Maria Luiza Americano 1694, Parque do Carmo, São Paulo, 08275-000;-46.474663806484585;-23.567562882898947
Avenida Cruzeiro do Sul 1100, Pari, São Paulo, 03033-020;-46.62514747765403;-23.52210680333069
Estrada de Itapecerica 22560, Capão Redondo, São Paulo, 05858-000;-46.782090033768725;-23.663840006880392
Rua Itinguçu 2232, Penha, São Paulo, 03658-001;-46.495270024284395;-23.53121998418645
Avenida Oliveira Freire 1078, Jardim Helena, São Paulo, 08080-570;-46.42506001816366;-23.48456999914933
Estrada Itaquera Guaianazes 2128, José Bonifácio, São Paulo, 08420-000;-46.426839999121995;-23.53886000511183
Estrada do Lajeado Velho 1010, Lageado, São Paulo, 08451-000;-46.3998969480594;-23.534457097505015
Rua Doutor Flávio Américo Maurano, Morumbi, São Paulo, 05656-020;-46.719913459469005;-23.61146425954167
Avenida Mateo Bei 413, São Mateus, São Paulo, 03949-100;-46.488413541262645;-23.59337822524273
Avenida São Miguel 6924, Ermelino Matarazzo, São Paulo, 08070-002;-46.47697911164892;-23.506506449084643
Avenida São Gualter 48, Alto de Pinheiros, São Paulo, 05455-000;-46.713339987543094;-23.53572001845376
Rua Barão de Jundiaí, Lapa, São Paulo, 05073-010;-46.70729808282165;-23.524590037395765
Avenida dos Tajurás 104, Morumbi, São Paulo, 05670-000;-46.69672001465071;-23.586570007534036
Praça Isaí Leiner 89, Butantã, São Paulo, 05592-140;-46.74163997487241;-23.57757999728321
