CnpjBase,CnpjSequencial,CnpjDv,NomeIf,Segmento,CodigoCompe,NomeAgencia,Endereco,Numero,Complemento,Bairro,Cep,MunicipioIbge,Municipio,UF,DataInicio,DDD,Telefone,Posicao
90400888,1500,39,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,04516,001 4516 URB-CAMPINAS-GAL.OSORIO,AV DR CAMPOS SALES,,,CENTRO,13010-081,3509502,CAMPINAS,SP,30/04/2009,19,37373470,28/12/2021
90400888,0309,98,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,02162,001 2162 LARGO DO ROSARIO,AV DR CAMPOS SALES,,,CENTRO,13010-081,3509502,CAMPINAS,SP,31/08/2006,19,2363300,28/12/2021
90400888,3028,23,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,01941,001 1941 CENTRO-JI-PARANA-RO,R PEDRO TEIXEIRA,,1407,CENTRO,76900-062,1100122,JI-PARANA,RO,06/08/2018,69,34163500,28/12/2021
90400888,1773,10,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,04160,001-4160 RECIFE-AV.CONS.AGUIAR,R PROF OSIAS RIBEIRO,0105,PARTE,BOA VIAGEM,51111-100,2611606,RECIFE,PE,30/04/2009,81,31985300,28/12/2021
90400888,3035,52,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,01888,001 1888 SELECT ARACAJU,AV FRANCISCO PORTO (PORTINOX),,QD G LT 112,JARDINS,49025-230,2800308,ARACAJU,SE,09/08/2018,79,325383000,28/12/2021
17298092,0056,04,BANCO ITAÚ BBA S.A.,Banco Múltiplo,00463,ITAÚ BBA GOIÂNIA,AV. DEPUTADO JAMEL CECILIO,,QUADRA B27 - TORRE B - ANDARES 22 E 23 (PARTE),JARDIM GOIAS,74810-100,5208707,GOIANIA,GO,01/02/2012,11,40044828,28/12/2021
04913711,0050,96,BANCO DO ESTADO DO PARÁ S.A.,Banco Múltiplo,00050,AGÊNCIA TAPAJÓS,TRAV. 15 DE NOVEMBRO,,,CENTRO,68005-290,1506807,SANTAREM,PA,10/06/2015,93,35220758,28/12/2021
90400888,1508,96,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,03112,001 3112 NOVE DE ABRIL-CUBATAO-SP,AV. 9 DE ABRIL,,,CENTRO,11510-003,3513504,CUBATAO,SP,30/04/2009,13,33674000,28/12/2021
90400888,3032,00,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,01984,001 1984 CENTRO-SAPEZAL-MT,AV ROTARY INTERNACIONAL,,SW QD 55 LT 6,LOTEAMENTO CIDEZAL I,78365-000,5107875,SAPEZAL,MT,14/08/2018,65,33835250,28/12/2021
90400888,3037,14,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,01981,001 1981 CENTRO-CPO NOVO PARECIS-MT,AV BRASIL,1363,NE QD 79 LT 6,CENTRO,78360-000,5102637,CAMPO NOVO DO PARECIS,MT,13/08/2018,65,33827850,28/12/2021
69720910,0001,45,CCB BRASIL ARRENDAMENTO MERCANTIL S/A,Sociedade de Arrendamento Mercantil,null,MATRIZ,AVENIDA BRIGADEIRO FARIA LIMA,3064,"2º ANDAR, SALA 6",ITAIM BIBI,04538-132,3550308,SAO PAULO,SP,02/10/2018,null,null,28/12/2021
06373777,0001,88,BOA VIAGEM SOCIEDADE CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,null,MATRIZ,"RUA BARÃO DE SOUZA LEÃO,",425,75 LOJA 04,BOA VIAGEM,51030-300,2611606,RECIFE,PE,01/12/2004,81,33439194,28/12/2021
00000000,7640,60,BANCO DO BRASIL S.A.,Banco Múltiplo,09126,ESCR.EXC.M.CLAROS,"RUA GONCALVES FIGUEIRA, 009",,TERCEIRO ANDAR,CENTRO,39400-006,3143302,MONTES CLAROS,MG,17/08/2018,31,33207035,28/12/2021
00000000,7585,07,BANCO DO BRASIL S.A.,Banco Múltiplo,07612,EMPRESA F.DE SANTANA,"R.CONSELHEIRO FRANCO,418",,1.ANDAR,CENTRO,44002-272,2910800,FEIRA DE SANTANA,BA,23/02/2018,75,36029000,28/12/2021
00000000,0372,73,BANCO DO BRASIL S.A.,Banco Múltiplo,00372,DIVINOPOLIS,"R.SAO PAULO,151",,,CENTRO,35500-006,3122306,DIVINOPOLIS,MG,16/07/1955,37,32292400,28/12/2021
00000000,0262,39,BANCO DO BRASIL S.A.,Banco Múltiplo,00262,VOLTA REDONDA,"R.VER.LUIZ F.GUIMARAES,12",,,ATERRADO,27213-320,3306305,VOLTA REDONDA,RJ,02/10/1945,24,33451000,28/12/2021
00000000,0878,82,BANCO DO BRASIL S.A.,Banco Múltiplo,02876,VILA GALVAO,"R.TREZE DE MAIO,149",,LINHA FINAL ONIBUS V.GALVAO,V.GALVAO,07071-050,3518800,GUARULHOS,SP,08/04/1987,11,20862185,28/12/2021
01181521,0008,21,BANCO COOPERATIVO SICREDI S.A.,Banco Cooperativo,00800,AG. CUIABA,AV. MATO GROSSO,,SALA 02,CENTRO NORTE,78005-300,5103403,CUIABA,MT,08/12/1998,65,33153500,28/12/2021
00360305,0011,86,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,00011,"MONTESE, DF",QUARTEL GENERAL DO EXERCITO SMU BL H,,,SMU,70630-000,5300108,BRASILIA,DF,08/05/1970,61,21964700,28/12/2021
00360305,0027,43,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,00027,"GONCALVES DIAS, MA","RUA DO SOL, NUM 23",,,CENTRO,65020-590,2111300,SAO LUIS,MA,01/08/1970,98,31333001,28/12/2021
90400888,1111,30,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,02094,001-2094 ILHA DO GOVERNADOR,ESTRADA DO GALEAO,2821,LOJA A,PORTUGUESA,21931-387,3304557,RIO DE JANEIRO,RJ,31/08/2006,21,33838043,28/12/2021
90400888,3034,71,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,01983,001 1983 CENTRO-VIANA-ES,"ROD GOV MARIO COVAS, S/N",,KM 10 LJ 2 E 3,PQ INDUSTRIAL,29136-552,3205101,VIANA,ES,23/08/2018,27,40043535,28/12/2021
60746948,2251,14,BANCO BRADESCO S.A.,Banco Múltiplo,02007,GUARABIRA,AV. DOM PEDRO II,000100,344 E 354,CENTRO,58200-000,2506301,GUARABIRA,PB,22/09/1986,null,null,28/12/2021
92702067,0278,09,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,Banco Múltiplo,00692,HORIZONTINA,RUA URUGUAI,1580,,CENTRO,98920-000,4309605,HORIZONTINA,RS,23/07/1981,55,35371100,28/12/2021
01181521,0009,02,BANCO COOPERATIVO SICREDI S.A.,Banco Cooperativo,00900,AG. CAMPO GRANDE,"RUA 14 E JULHO, 357",,SALA 02,CENTRO,79004-390,5002704,CAMPO GRANDE,MS,09/12/1998,67,33128353,28/12/2021
90400888,3036,33,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,01986,001 1986 CENTRO-VILHENA-RO,AV MAJ AMARANTE,2506,,CENTRO,76980-234,1100304,VILHENA,RO,30/08/2018,69,40043535,28/12/2021
00000000,7683,08,BANCO DO BRASIL S.A.,Banco Múltiplo,09185,ESCR.EXC.BARUERI,"R.CAMPOS SALES,211/221",,MEZANINO,CENTRO,06401-000,3505708,BARUERI,SP,30/08/2018,11,40033001,28/12/2021
52937216,0001,81,BEXS CORRETORA DE CÂMBIO S/A,Sociedade Corretora de Câmbio,null,MATRIZ,AVENIDA DAS NAÇÕES UNIDAS,14401,11 ANDAR,BROOKLIN PAULISTA,04578-901,3550308,SAO PAULO,SP,20/08/1996,11,27125300,28/12/2021
00360305,0408,31,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,00408,"ANITA GARIBALDI, SC","RUA FELIPE SCHMIDT, NUM 249 - ARS",,,CENTRO,88010-902,4205407,FLORIANOPOLIS,SC,30/04/1946,48,21080400,28/12/2021
