codigo_distrito;ano;faixa_etaria;homens;mulheres;total
80032;2021;75 e +;2.539;4.319;6858
80033;2021;00 a 04;6.120;5.826;11946
80033;2021;05 a 09;6.071;5.781;11852
80033;2021;10 a 14;5.393;4.984;10377
80033;2021;15 a 19;5.833;5.609;11442
80033;2021;20 a 24;7.020;6.748;13768
80033;2021;25 a 29;6.735;6.813;13548
80033;2021;30 a 34;6.258;6.523;12781
80033;2021;35 a 39;5.861;6.256;12117
80033;2021;40 a 44;5.197;5.623;10820
80033;2021;45 a 49;4.662;5.217;9879
80033;2021;50 a 54;4.441;4.807;9248
80033;2021;55 a 59;3.648;4.130;7778
80033;2021;60 a 64;2.829;3.298;6127
80033;2021;65 a 69;2.061;2.405;4466
80033;2021;70 a 74;1.260;1.593;2853
80033;2021;75 e +;1.048;1.541;2589
80034;2021;00 a 04;3.083;2.951;6034
80034;2021;05 a 09;3.389;3.245;6634
80034;2021;10 a 14;3.008;2.902;5910
80034;2021;15 a 19;3.051;2.921;5972
80034;2021;20 a 24;3.487;3.358;6845
80034;2021;25 a 29;3.653;3.647;7300
80034;2021;30 a 34;4.129;4.299;8428
80034;2021;35 a 39;4.662;4.914;9576
80034;2021;40 a 44;4.484;4.904;9388
80034;2021;45 a 49;3.978;4.543;8521
80034;2021;50 a 54;3.525;4.184;7709
80034;2021;55 a 59;3.256;4.001;7257
80034;2021;60 a 64;2.834;3.783;6617
80034;2021;65 a 69;2.297;3.178;5475
80034;2021;70 a 74;1.624;2.538;4162
80034;2021;75 e +;2.148;4.558;6706
80035;2021;00 a 04;2.243;2.142;4385
80035;2021;05 a 09;2.648;2.530;5178
80035;2021;10 a 14;2.264;2.238;4502
80035;2021;15 a 19;1.868;1.788;3656
80035;2021;20 a 24;1.881;1.773;3654
80035;2021;25 a 29;2.140;2.211;4351
80035;2021;30 a 34;2.934;3.246;6180
80035;2021;35 a 39;4.216;4.798;9014
80035;2021;40 a 44;4.851;5.367;10218
80035;2021;45 a 49;4.125;4.533;8658
80035;2021;50 a 54;3.162;3.590;6752
80035;2021;55 a 59;2.892;3.512;6404
80035;2021;60 a 64;2.688;3.526;6214
80035;2021;65 a 69;2.375;3.370;5745
80035;2021;70 a 74;1.883;2.803;4686
80035;2021;75 e +;2.598;5.050;7648
80036;2021;00 a 04;8.789;8.380;17169
80036;2021;05 a 09;8.897;8.486;17383
80036;2021;10 a 14;7.861;7.834;15695
80036;2021;15 a 19;8.613;8.378;16991
80036;2021;20 a 24;10.583;10.330;20913
80036;2021;25 a 29;10.441;10.450;20891
80036;2021;30 a 34;9.906;10.204;20110
80036;2021;35 a 39;9.207;9.937;19144
80036;2021;40 a 44;8.154;9.074;17228
80036;2021;45 a 49;7.185;8.248;15433
80036;2021;50 a 54;6.598;7.859;14457
80036;2021;55 a 59;5.593;6.849;12442
80036;2021;60 a 64;4.512;5.748;10260
80036;2021;65 a 69;3.270;4.295;7565
80036;2021;70 a 74;2.135;3.003;5138
80036;2021;75 e +;1.943;3.337;5280
80037;2021;00 a 04;7.333;6.998;14331
80037;2021;05 a 09;7.636;7.292;14928
80037;2021;10 a 14;6.743;6.650;13393
80037;2021;15 a 19;7.203;7.036;14239
80037;2021;20 a 24;8.694;8.695;17389
80037;2021;25 a 29;8.531;8.455;16986
80037;2021;30 a 34;8.412;8.634;17046
80037;2021;35 a 39;8.225;8.864;17089
80037;2021;40 a 44;7.738;8.821;16559
80037;2021;45 a 49;7.166;8.063;15229
80037;2021;50 a 54;6.395;7.379;13774
80037;2021;55 a 59;5.321;6.374;11695
80037;2021;60 a 64;4.321;5.516;9837
80037;2021;65 a 69;3.240;4.520;7760
80037;2021;70 a 74;2.250;3.315;5565
80037;2021;75 e +;2.293;4.104;6397
80038;2021;00 a 04;6.946;6.641;13587
80038;2021;05 a 09;7.503;7.181;14684
80038;2021;10 a 14;6.648;6.482;13130
80038;2021;15 a 19;6.743;6.453;13196
80038;2021;20 a 24;7.969;7.727;15696
80038;2021;25 a 29;8.002;8.023;16025
80038;2021;30 a 34;8.759;9.311;18070
80038;2021;35 a 39;9.443;10.456;19899
80038;2021;40 a 44;9.183;10.375;19558
80038;2021;45 a 49;7.788;9.090;16878
80038;2021;50 a 54;7.070;8.256;15326
80038;2021;55 a 59;6.352;7.793;14145
80038;2021;60 a 64;5.296;7.094;12390
80038;2021;65 a 69;4.107;5.765;9872
80038;2021;70 a 74;2.731;4.345;7076
80038;2021;75 e +;3.418;6.735;10153
80039;2021;00 a 04;2.946;2.818;5764
80039;2021;05 a 09;3.042;2.915;5957
80039;2021;10 a 14;2.978;2.872;5850
